case_id,edge_id,source_id,target_id,relation,attributes
PMC5833205_01,e1,P1,D1,DIAGNOSED_WITH,"evidence_text=Laboratory studies obtained in the emergency department were consistent with a microcytic anemia (hemoglobin of 6.4 mg/dL with mean corpuscular volume of 69 fL), iron deficiency (ferritin of 4.9 ng/L), and hypoproteinemia (albumin of 1.6 g/dL, total protein of 3.0 g/dL); trigger=consistent with; certainty=hedged; char_start=874; char_end=910"
PMC5833205_01,e2,P1,O1,HAS_OUTCOME,evidence_text=He has had no subsequent episodes of edema and his diarrhea resolved; trigger=resolved; certainty=asserted; char_start=2163; char_end=2171
PMC5833205_01,e3,P1,O1,HAS_OUTCOME,evidence_text=His albumin normalized within 1 week and his edema resolved completely; trigger=resolved; certainty=asserted; char_start=2224; char_end=2232
PMC5833205_01,e4,P1,F1,HAS_FINDING,"evidence_text=Clinical history obtained in the office revealed that shortly after the edema was noted, the patient began passing up to 5 to 6 loose to watery, grossly nonbloody stools per day; trigger=revealed; certainty=asserted; char_start=382; char_end=420"
PMC5833205_01,e5,P1,F2,HAS_FINDING,evidence_text=Additional history revealed that the boy routinely drank more than 28 ounces of cow milk per day; trigger=revealed; certainty=asserted; char_start=540; char_end=608
PMC5833205_01,e6,P1,F3,HAS_FINDING,"evidence_text=Laboratory studies obtained at his pediatrician's office revealed an albumin of 1.8 g/dL, and a urinalysis that was negative for protein; trigger=revealed; certainty=asserted; char_start=676; char_end=691"
PMC5833205_01,e7,P1,F4,HAS_FINDING,"evidence_text=Workup included performance of upper endoscopy and colonoscopy, and these studies revealed grossly normal appearing mucosa lining the upper and lower gastrointestinal tract; trigger=revealed; certainty=asserted; char_start=1331; char_end=1412"
PMC5833205_01,e8,P1,F5,HAS_FINDING,"evidence_text=Subsequent histologic examination revealed only a mild increase in the number of eosinophils in the gastric antrum and otherwise normal-appearing mucosa without the presence of acute or chronic inflammation in his esophagus, duodenum, colon, and rectum; trigger=revealed; certainty=asserted; char_start=1457; char_end=1637"
PMC5833205_01,e9,R2,D1,SUPPORTS,"evidence_text=Laboratory studies obtained in the emergency department were consistent with a microcytic anemia (hemoglobin of 6.4 mg/dL with mean corpuscular volume of 69 fL), iron deficiency (ferritin of 4.9 ng/L), and hypoproteinemia (albumin of 1.6 g/dL, total protein of 3.0 g/dL); trigger=of; certainty=asserted; char_start=909; char_end=912"
PMC5833205_01,e10,P1,M1,TREATED_WITH,"evidence_text=After 3 months of oral iron therapy, his hemoglobin had risen to 11.8 g/dL and his ferritin was 29.4 ng/L; trigger=to 11.8 g; certainty=asserted; char_start=2307; char_end=2309"
PMC5833205_01,e11,F5,A1,LOCATED_IN,"evidence_text=Subsequent histologic examination revealed only a mild increase in the number of eosinophils in the gastric antrum and otherwise normal-appearing mucosa without the presence of acute or chronic inflammation in his esophagus, duodenum, colon, and rectum; trigger=esophagus; certainty=asserted; char_start=1628; char_end=1637"
PMC5833205_01,e12,F5,A2,LOCATED_IN,"evidence_text=Subsequent histologic examination revealed only a mild increase in the number of eosinophils in the gastric antrum and otherwise normal-appearing mucosa without the presence of acute or chronic inflammation in his esophagus, duodenum, colon, and rectum; trigger=duodenum; certainty=asserted; char_start=1639; char_end=1647"
PMC5833205_01,e13,F5,A3,LOCATED_IN,"evidence_text=Subsequent histologic examination revealed only a mild increase in the number of eosinophils in the gastric antrum and otherwise normal-appearing mucosa without the presence of acute or chronic inflammation in his esophagus, duodenum, colon, and rectum; trigger=colon; certainty=asserted; char_start=1649; char_end=1654"
PMC5833205_01,e14,F5,A4,LOCATED_IN,"evidence_text=Subsequent histologic examination revealed only a mild increase in the number of eosinophils in the gastric antrum and otherwise normal-appearing mucosa without the presence of acute or chronic inflammation in his esophagus, duodenum, colon, and rectum; trigger=rectum; certainty=asserted; char_start=1660; char_end=1666"
