case_id,edge_id,source_id,target_id,relation,attributes
PMC11259348_02,e1,P1,D1,DIAGNOSED_WITH,evidence_text=excluded the presence of erythrocyte alloantibodies and ABO incompatibility of the patient with transfused units; trigger=excluded ; certainty=asserted; char_start=36; char_end=148
PMC11259348_02,e2,P1,D2,DIAGNOSED_WITH,evidence_text=excluded the presence of erythrocyte alloantibodies and ABO incompatibility of the patient with transfused units; trigger=excluded ; certainty=asserted; char_start=36; char_end=148
PMC11259348_02,e3,E1,R1,HAS_RESULT,"evidence_text=Group A-positive ten blood packs were selected, and 50% red cell suspensions were made from each (P1, P2, P3,.; trigger=result; certainty=asserted; char_start=2074; char_end=2184"
PMC11259348_02,e4,E2,R2,HAS_RESULT,evidence_text=Positive control - Nine volumes of 37 C separated patient's serum was added to one volume of 50% cell suspension prepared from pooling three group A blood units; trigger=result; certainty=asserted; char_start=2485; char_end=2645
PMC11259348_02,e5,E3,R3,HAS_RESULT,evidence_text=Negative control - Nine volumes of 37 C separated fresh serum of a group A healthy person was added to one volume of 50% cell suspension prepared from pooling three group A blood units; trigger=result; certainty=asserted; char_start=2646; char_end=2830
PMC11259348_02,e6,P1,E1,UNDERWENT_EXAM,"evidence_text=Group A-positive ten blood packs were selected, and 50% red cell suspensions were made from each (P1, P2, P3,.; trigger=laboratory result; certainty=asserted; char_start=2074; char_end=2184"
PMC11259348_02,e7,P1,E2,UNDERWENT_EXAM,evidence_text=Positive control - Nine volumes of 37 C separated patient's serum was added to one volume of 50% cell suspension prepared from pooling three group A blood units; trigger=laboratory result; certainty=asserted; char_start=2485; char_end=2645
PMC11259348_02,e8,P1,E3,UNDERWENT_EXAM,evidence_text=Negative control - Nine volumes of 37 C separated fresh serum of a group A healthy person was added to one volume of 50% cell suspension prepared from pooling three group A blood units; trigger=laboratory result; certainty=asserted; char_start=2646; char_end=2830
PMC11259348_02,e9,P1,T1,TREATED_WITH,evidence_text=Transfusion reaction investigations excluded the presence of erythrocyte alloantibodies and ABO incompatibility of the patient with transfused units; trigger=transfused; certainty=asserted; char_start=0; char_end=148
PMC11259348_02,e10,T1,C1,SAME_AS,strategy=longest
